provinces,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16
กระบี่,0,0,0,0,0,0,0,0,0,2,1,1,1,5,5,5
กรุงเทพมหานคร,7,20,32,35,46,156,216,95,268,185,236,137,194,351,409,312
กาญจนบุรี,0,0,0,0,0,1,0,0,1,1,1,13,0,16,5,4
กาฬสินธุ์,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1
กำแพงเพชร,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,4
ขอนแก่น,0,0,0,2,0,0,2,3,6,5,6,9,12,18,18,8
จันทบุรี,0,0,0,0,0,0,1,0,2,3,1,8,9,5,6,2
ฉะเชิงเทรา,0,0,0,0,0,0,0,1,2,6,2,10,7,16,7,9
ชลบุรี,0,0,1,7,7,18,11,14,46,101,180,92,97,72,98,111
ชัยนาท,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
ชัยภูมิ,0,0,0,0,2,1,0,2,2,0,0,0,1,1,3,4
ชุมพร,0,0,0,0,2,0,0,3,5,3,1,1,1,3,7,1
ตรัง,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,6
ตราด,0,0,0,0,0,0,0,0,1,3,5,1,0,0,1,1
ตาก,0,2,1,0,1,1,0,0,0,1,1,2,2,1,5,5
นครนายก,0,0,0,0,0,0,0,0,0,3,2,1,0,0,2,1
นครปฐม,0,0,5,3,0,1,1,6,1,15,11,17,10,20,17,27
นครพนม,0,0,0,0,0,0,0,0,0,1,0,0,1,1,10,4
นครราชสีมา,0,0,0,0,0,0,0,0,6,10,0,1,67,1,0,14
นครศรีธรรมราช,0,0,0,0,0,0,0,1,0,3,1,1,6,3,1,10
นครสวรรค์,0,0,0,0,0,0,0,0,1,2,4,8,3,3,36,1
นนทบุรี,0,3,4,2,4,1,8,18,10,1,19,2,0,9,36,61
นราธิวาส,0,0,1,1,94,30,1,146,0,18,3,1,3,5,19,5
น่าน,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
บึงกาฬ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2
