provinces,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16
Krabi,0,0,0,0,0,0,0,0,0,2,1,1,1,5,5,5
Bangkok,7,20,32,35,46,156,216,95,268,185,236,137,194,351,409,312
Kanchanaburi,0,0,0,0,0,1,0,0,1,1,1,13,0,16,5,4
Kalasin,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1
Kamphaeng Phet,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,4
Khon Kaen,0,0,0,2,0,0,2,3,6,5,6,9,12,18,18,8
Chanthaburi,0,0,0,0,0,0,1,0,2,3,1,8,9,5,6,2
Chachoengsao,0,0,0,0,0,0,0,1,2,6,2,10,7,16,7,9
Chonburi,0,0,1,7,7,18,11,14,46,101,180,92,97,72,98,111
Chai Nat,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
Chaiyaphum,0,0,0,0,2,1,0,2,2,0,0,0,1,1,3,4
Chumphon,0,0,0,0,2,0,0,3,5,3,1,1,1,3,7,1
Trang,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,6
Trat,0,0,0,0,0,0,0,0,1,3,5,1,0,0,1,1
Tak,0,2,1,0,1,1,0,0,0,1,1,2,2,1,5,5
Nakhon Nayok,0,0,0,0,0,0,0,0,0,3,2,1,0,0,2,1
Nakhon Pathom,0,0,5,3,0,1,1,6,1,15,11,17,10,20,17,27
Nakhon Phanom,0,0,0,0,0,0,0,0,0,1,0,0,1,1,10,4
Nakhon Ratchasima,0,0,0,0,0,0,0,0,6,10,0,1,67,1,0,14
Nakhon Si Thammarat,0,0,0,0,0,0,0,1,0,3,1,1,6,3,1,10
Nakhon Sawan,0,0,0,0,0,0,0,0,1,2,4,8,3,3,36,1
Nonthaburi,0,3,4,2,4,1,8,18,10,1,19,2,0,9,36,61
Narathiwat,0,0,1,1,94,30,1,146,0,18,3,1,3,5,19,5
Nan,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
Bueng Kan,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2
Buriram,0,0,0,0,0,0,0,2,8,1,4,7,0,0,8,8
Pathum Thani,0,0,0,2,2,2,3,8,12,11,26,36,21,2,38,26
Prachuap Khiri Khan,0,0,0,0,2,0,6,14,30,40,49,52,73,161,24,100
Prachinburi,0,0,0,0,0,1,0,0,0,3,2,6,4,9,5,1
Pattani,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
Phra Nakhon Si Ayutthaya,0,0,0,1,0,1,1,2,0,3,5,18,5,11,25,19
Phayao,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,9
Phang Nga,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,1
Phatthalung,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
Phichit,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Phitsanulok,0,0,0,0,0,0,0,4,1,0,1,6,0,3,35,8
Phuket,0,0,0,0,0,0,1,3,4,4,29,17,8,26,14,30
Maha Sarakham,0,0,0,0,0,0,0,0,1,0,3,2,0,7,4,0
Mukdahan,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
Yala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Yasothon,0,0,0,0,0,0,0,1,0,2,1,1,1,0,2,2
Ranong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rayong,0,0,0,0,0,0,1,1,6,10,9,31,25,11,23,11
Ratchaburi,0,0,0,0,0,0,0,0,4,2,5,7,12,14,13,12
Roi Et,0,0,0,0,0,0,0,0,0,3,0,3,2,3,2,3
Lopburi,0,0,0,0,0,1,0,0,6,1,1,6,3,0,6,9
Lampang,0,0,0,0,0,0,1,1,1,6,0,0,0,0,0,59
Lamphun,0,0,0,0,0,0,0,0,0,2,0,8,0,8,30,18
Sisaket,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,19
Sakon Nakhon,0,0,0,0,0,0,0,0,0,1,2,1,0,6,2,1
Songkhla,0,0,0,0,0,0,1,2,6,10,6,4,10,17,18,89
Satun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Samut Prakan,3,5,4,9,9,20,30,23,46,75,48,83,49,44,98,40
Samut Songkhram,0,0,0,0,1,0,0,0,1,1,1,0,0,1,2,0
Samut Sakhon,11,14,12,13,4,7,12,9,9,7,8,25,34,23,46,48
Saraburi,0,0,0,0,0,0,0,1,2,2,23,4,3,3,7,3
Sa Kaeo,0,0,0,0,1,2,20,14,16,11,12,18,11,21,17,15
Sing Buri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10
Suphan Buri,0,0,9,5,7,0,8,2,0,4,6,15,8,11,21,0
Surat Thani,0,0,0,6,0,0,0,0,4,4,3,7,4,7,13,11
Surin,0,0,0,0,0,0,0,0,0,1,0,2,1,4,4,6
Sukhothai,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,0
Nong Khai,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,4
Nong Bua Lamphu,0,0,0,0,0,0,0,1,0,1,1,1,0,3,4,3
Amnat Charoen,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,3
Udon Thani,0,0,0,1,0,0,1,7,10,1,6,10,0,32,17,11
Uttaradit,0,0,0,0,0,0,0,0,0,1,3,0,0,1,5,1
Uthai Thani,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1
Ubon Ratchathani,0,0,0,0,0,0,0,0,6,2,8,6,7,17,29,7
Ang Thong,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1
Chiang Rai,0,0,0,0,0,0,0,1,2,10,6,10,0,0,0,77
Chiang Mai,0,0,0,0,0,2,2,6,16,168,189,246,251,319,278,272
Phetchaburi,0,0,0,0,0,0,0,0,4,4,9,12,0,10,29,17
Phetchabun,0,0,0,0,0,0,0,0,2,2,3,1,1,3,5,1
Loei,0,1,0,0,0,0,0,0,0,2,1,1,0,2,1,0
Phrae,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15
Mae Hong Son,0,0,0,0,0,0,0,0,0,0,2,3,0,0,6,0
